Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Angelica,2021-01-24 21:19:10,00:00:33,Autoplayed: user action: None; ,Peppermint_hook_primary_16x9,HOOK,Apple iPhone XR,00:00:33,00:00:33,US (United States)
Angelica,2021-01-24 21:18:30,00:00:22,Autoplayed: user action: None; ,The Foreigner_hook_primary_16x9,HOOK,Apple iPhone XR,00:00:23,00:00:23,US (United States)
Angelica,2021-01-24 21:18:03,00:00:24,Autoplayed: user action: None; ,Homefront_hook_primary_16x9,HOOK,Apple iPhone XR,00:00:24,00:00:24,US (United States)
Angelica,2021-01-23 08:04:00,00:15:59,Autoplayed: user action: Unspecified; ,The White Tiger,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:16:18,00:16:18,US (United States)
Angelica,2021-01-23 07:43:20,00:00:05,Autoplayed: user action: None; ,Trailer: The White Tiger,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,00:00:05,US (United States)
Angelica,2021-01-23 05:29:25,00:01:31,,The White Tiger,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:31,Not latest view,US (United States)
Angelica,2021-01-23 05:29:17,00:00:05,Autoplayed: user action: None; ,Trailer: The White Tiger,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,Not latest view,US (United States)
Angelica,2021-01-21 07:56:38,00:00:29,Autoplayed: user action: None; ,The Last Kingdom (Trailer),TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:29,00:00:29,US (United States)
Angelica,2021-01-21 07:56:24,00:00:05,Autoplayed: user action: None; ,Disenchantment: Part 1 Podular: TEXTLESS / Comedy - Adventure - Fantasy,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,00:00:05,US (United States)
Angelica,2021-01-21 07:56:14,00:00:02,Autoplayed: user action: None; ,The Promised Neverland: Season 1: EPISODE.06 311045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:32,00:01:32,US (United States)
