Start Time,Duration,Title,weekday,hour
2020-12-19 01:04:50-08:00,0 days 00:07:55.000000000,Schitt's Creek: Season 2: Estate Sale (Episode 4),5,1
2020-12-19 00:43:26-08:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: Jazzagals (Episode 3),5,0
2020-12-19 00:22:02-08:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: Family Dinner (Episode 2),5,0
2020-12-19 00:00:32-08:00,0 days 00:21:26.000000000,Schitt's Creek: Season 2: Finding David (Episode 1),5,0
2020-12-05 21:43:33-08:00,0 days 00:08:00.000000000,Schitt's Creek: Season 5: Rock On! (Episode 6),5,21
2020-12-05 21:22:01-08:00,0 days 00:21:29.000000000,Schitt's Creek: Season 5: Housewarming (Episode 5),5,21
2020-11-23 21:39:16-08:00,0 days 00:16:11.000000000,Schitt's Creek: Season 5: A Whisper of Desire (Episode 7),0,21
2020-11-23 21:17:50-08:00,0 days 00:21:25.000000000,Schitt's Creek: Season 5: Rock On! (Episode 6),0,21
2020-11-23 20:56:23-08:00,0 days 00:21:26.000000000,Schitt's Creek: Season 5: Housewarming (Episode 5),0,20
2020-11-23 20:34:50-08:00,0 days 00:21:29.000000000,Schitt's Creek: Season 5: The Dress (Episode 4),0,20
2020-10-22 18:27:44-07:00,0 days 00:17:04.000000000,Schitt's Creek: Season 5: The Plant (Episode 3),3,18
2020-10-15 01:18:03-07:00,0 days 00:01:55.000000000,Schitt's Creek: Season 5: The Plant (Episode 3),3,1
2020-10-15 00:56:38-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 5: Love Letters (Episode 2),3,0
2020-10-15 00:35:14-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 5: The Crowening (Episode 1),3,0
2020-10-15 00:10:28-07:00,0 days 00:24:45.000000000,"Schitt's Creek: Season 4: Merry Christmas, Johnny Rose (Episode 13)",3,0
2020-10-14 23:50:15-07:00,0 days 00:20:12.000000000,Schitt's Creek: Season 4: Singles Week (Episode 12),2,23
2020-10-13 23:09:22-07:00,0 days 00:01:13.000000000,Schitt's Creek: Season 4: Singles Week (Episode 12),1,23
2020-10-13 22:47:57-07:00,0 days 00:21:25.000000000,Schitt's Creek: Season 4: The Rollout (Episode 11),1,22
2020-10-13 22:45:27-07:00,0 days 00:02:28.000000000,Schitt's Creek: Season 4: Baby Sprinkle (Episode 10),1,22
2020-10-13 20:58:21-07:00,0 days 00:18:56.000000000,Schitt's Creek: Season 4: Baby Sprinkle (Episode 10),1,20
2020-10-13 20:42:25-07:00,0 days 00:15:54.000000000,Schitt's Creek: Season 4: The Olive Branch (Episode 9),1,20
2020-10-13 00:12:28-07:00,0 days 00:05:29.000000000,Schitt's Creek: Season 4: The Olive Branch (Episode 9),1,0
2020-10-12 23:51:03-07:00,0 days 00:21:24.000000000,Schitt's Creek: Season 4: The Jazzaguy (Episode 8),0,23
2020-10-12 23:29:39-07:00,0 days 00:21:24.000000000,Schitt's Creek: Season 4: The Barbecue (Episode 7),0,23
2020-10-12 23:07:38-07:00,0 days 00:21:25.000000000,Schitt's Creek: Season 4: Open Mic (Episode 6),0,23
2020-10-12 22:46:11-07:00,0 days 00:21:26.000000000,Schitt's Creek: Season 4: RIP Moira Rose (Episode 5),0,22
2020-10-12 22:24:46-07:00,0 days 00:21:24.000000000,Schitt's Creek: Season 4: Girls’ Night (Episode 4),0,22
2020-10-12 22:01:28-07:00,0 days 00:21:55.000000000,Schitt's Creek: Season 4: Asbestos Fest (Episode 3),0,22
2020-10-12 21:39:59-07:00,0 days 00:21:28.000000000,Schitt's Creek: Season 4: Pregnancy Test (Episode 2),0,21
2020-10-12 21:17:32-07:00,0 days 00:21:26.000000000,Schitt's Creek: Season 3: Grad Night (Episode 13),0,21
2020-10-12 20:56:10-07:00,0 days 00:21:22.000000000,Schitt's Creek: Season 3: Friends & Family (Episode 12),0,20
2020-10-12 20:34:47-07:00,0 days 00:21:22.000000000,Schitt's Creek: Season 3: Stop Saying Lice! (Episode 11),0,20
2020-10-12 20:12:46-07:00,0 days 00:21:25.000000000,Schitt's Creek: Season 3: Sebastien Raine (Episode 10),0,20
2020-07-07 01:08:34-07:00,0 days 00:13:55.000000000,Schitt's Creek: Season 3: The Affair (Episode 9),1,1
2020-07-07 00:47:05-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 3: Motel Review (Episode 8),1,0
2020-07-07 00:25:39-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 3: General Store (Episode 7),1,0
2020-07-07 00:04:10-07:00,0 days 00:21:26.000000000,Schitt's Creek: Season 3: Murder Mystery (Episode 6),1,0
2020-07-04 23:51:03-07:00,0 days 00:21:25.000000000,Schitt's Creek: Season 3: Rooms by the Hour (Episode 5),5,23
2020-07-04 23:29:39-07:00,0 days 00:21:22.000000000,Schitt's Creek: Season 3: Driving Test (Episode 4),5,23
2020-07-04 23:08:10-07:00,0 days 00:21:26.000000000,Schitt's Creek: Season 3: New Car (Episode 3),5,23
2020-07-04 05:44:34-07:00,0 days 00:21:22.000000000,Schitt's Creek: Season 3: The Throuple (Episode 2),5,5
2020-07-04 05:23:07-07:00,0 days 00:21:24.000000000,Schitt's Creek: Season 3: Opening Night (Episode 1),5,5
2020-07-04 05:01:36-07:00,0 days 00:21:28.000000000,Schitt's Creek: Season 2: Happy Anniversary (Episode 13),5,5
2020-07-03 03:09:49-07:00,0 days 00:21:24.000000000,Schitt's Creek: Season 2: Lawn Signs (Episode 12),4,3
2020-07-03 02:48:23-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: The Motel Guest (Episode 11),4,2
2020-07-03 02:26:56-07:00,0 days 00:21:24.000000000,Schitt's Creek: Season 2: Ronnie's Party (Episode 10),4,2
2020-07-03 02:05:24-07:00,0 days 00:21:29.000000000,Schitt's Creek: Season 2: Moira's Nudes (Episode 9),4,2
2020-07-02 01:38:29-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: Milk Money (Episode 8),3,1
2020-07-02 01:17:00-07:00,0 days 00:21:26.000000000,Schitt's Creek: Season 2: The Candidate (Episode 7),3,1
2020-07-02 00:55:31-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: Moira vs. Town Council (Episode 6),3,0
2020-07-02 00:33:59-07:00,0 days 00:21:28.000000000,Schitt's Creek: Season 2: Bob's Bagels (Episode 5),3,0
2020-07-01 01:31:59-07:00,0 days 00:21:22.000000000,Schitt's Creek: Season 2: Estate Sale (Episode 4),2,1
2020-07-01 01:10:34-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: Jazzagals (Episode 3),2,1
2020-07-01 00:37:10-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 2: Family Dinner (Episode 2),2,0
2020-07-01 00:15:47-07:00,0 days 00:21:22.000000000,Schitt's Creek: Season 2: Finding David (Episode 1),2,0
2020-06-30 23:54:20-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 1: Town for Sale (Episode 13),1,23
2020-06-30 02:15:21-07:00,0 days 00:21:19.000000000,Schitt's Creek: Season 1: Surprise Party (Episode 12),1,2
2020-06-30 01:53:58-07:00,0 days 00:21:19.000000000,Schitt's Creek: Season 1: Little Sister (Episode 11),1,1
2020-06-30 01:31:22-07:00,0 days 00:21:19.000000000,Schitt's Creek: Season 1: Honeymoon (Episode 10),1,1
2020-06-30 01:10:01-07:00,0 days 00:21:18.000000000,Schitt's Creek: Season 1: Carl's Funeral (Episode 9),1,1
2020-06-30 00:48:39-07:00,0 days 00:21:19.000000000,Schitt's Creek: Season 1: Allez-Vous (Episode 8),1,0
2020-06-30 00:27:12-07:00,0 days 00:21:18.000000000,Schitt's Creek: Season 1: Turkey Shoot (Episode 7),1,0
2020-06-30 00:05:47-07:00,0 days 00:21:19.000000000,Schitt's Creek: Season 1: Wine and Roses (Episode 6),1,0
2020-06-29 23:44:26-07:00,0 days 00:21:18.000000000,Schitt's Creek: Season 1: The Cabin (Episode 5),0,23
2020-06-29 23:16:04-07:00,0 days 00:21:23.000000000,Schitt's Creek: Season 1: Bad Parents (Episode 4),0,23
2020-06-29 22:54:44-07:00,0 days 00:21:17.000000000,"Schitt's Creek: Season 1: Don't Worry, It's His Sister (Episode 3)",0,22
2020-06-29 22:33:16-07:00,0 days 00:21:25.000000000,Schitt's Creek: Season 1: The Drip (Episode 2),0,22
2020-06-29 21:47:47-07:00,0 days 00:21:25.000000000,Schitt's Creek: Season 1: Our Cup Runneth Over (Episode 1),0,21
2019-12-07 01:25:06-08:00,0 days 00:06:44.000000000,Schitt's Creek: Season 5: Rock On! (Episode 6),5,1
2019-12-07 00:55:40-08:00,0 days 00:27:45.000000000,Schitt's Creek: Season 5: Housewarming (Episode 5),5,0
2019-11-13 01:10:20-08:00,0 days 00:01:55.000000000,Schitt's Creek: Season 5: Housewarming (Episode 5),2,1
2019-11-13 00:48:45-08:00,0 days 00:21:33.000000000,Schitt's Creek: Season 5: The Dress (Episode 4),2,0
2019-11-13 00:27:09-08:00,0 days 00:21:33.000000000,Schitt's Creek: Season 5: The Plant (Episode 3),2,0
2019-11-13 00:04:13-08:00,0 days 00:21:33.000000000,Schitt's Creek: Season 5: Love Letters (Episode 2),2,0
2019-11-12 23:42:41-08:00,0 days 00:21:30.000000000,Schitt's Creek: Season 5: The Crowening (Episode 1),1,23
2019-07-15 16:02:34-07:00,0 days 00:24:50.000000000,"Schitt's Creek: Season 4: Merry Christmas, Johnny Rose (Episode 13)",0,16
2019-07-15 15:39:23-07:00,0 days 00:21:34.000000000,Schitt's Creek: Season 4: Singles Week (Episode 12),0,15
2019-07-15 15:17:46-07:00,0 days 00:21:34.000000000,Schitt's Creek: Season 4: The Rollout (Episode 11),0,15
2019-07-15 14:56:06-07:00,0 days 00:21:34.000000000,Schitt's Creek: Season 4: Baby Sprinkle (Episode 10),0,14
2019-07-15 14:34:29-07:00,0 days 00:21:33.000000000,Schitt's Creek: Season 4: The Olive Branch (Episode 9),0,14
2019-07-15 14:12:53-07:00,0 days 00:21:33.000000000,Schitt's Creek: Season 4: The Jazzaguy (Episode 8),0,14
